VFAs	VFAsLong	TimeGroup	GP	values
Isobutyrate	Isobutyrate concentration (μM)	D00	Treat	2.39
Isobutyrate	Isobutyrate concentration (μM)	D05	Control	6.02
Isobutyrate	Isobutyrate concentration (μM)	D05	Control	6.70
Isobutyrate	Isobutyrate concentration (μM)	D05	Control	5.57
Isobutyrate	Isobutyrate concentration (μM)	D05	Control	6.59
Isobutyrate	Isobutyrate concentration (μM)	D05	Treat	14.44
Isobutyrate	Isobutyrate concentration (μM)	D05	Treat	11.32
Isobutyrate	Isobutyrate concentration (μM)	D05	Treat	9.62
Isobutyrate	Isobutyrate concentration (μM)	D05	Treat	8.07
Isobutyrate	Isobutyrate concentration (μM)	D12	Control	0.23
Isobutyrate	Isobutyrate concentration (μM)	D12	Control	1.14
Isobutyrate	Isobutyrate concentration (μM)	D12	Control	0.68
Isobutyrate	Isobutyrate concentration (μM)	D12	Control	0.57
Isobutyrate	Isobutyrate concentration (μM)	D12	Treat	7.30
Isobutyrate	Isobutyrate concentration (μM)	D12	Treat	7.19
Isobutyrate	Isobutyrate concentration (μM)	D12	Treat	10.20
Isobutyrate	Isobutyrate concentration (μM)	D12	Treat	4.46
Isobutyrate	Isobutyrate concentration (μM)	D21	Control	1.25
Isobutyrate	Isobutyrate concentration (μM)	D21	Control	1.59
Isobutyrate	Isobutyrate concentration (μM)	D21	Control	1.25
Isobutyrate	Isobutyrate concentration (μM)	D21	Control	1.02
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	9.91
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	7.44
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	5.50
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	7.80
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	1.93
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	1.70
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	1.70
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	2.16
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	10.27
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	6.45
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	6.49
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	17.75
Butyrate	Butyrate concentration (μM)	D00	Control	10.68
Butyrate	Butyrate concentration (μM)	D00	Control	18.07
Butyrate	Butyrate concentration (μM)	D00	Control	8.18
Butyrate	Butyrate concentration (μM)	D00	Control	7.39
Butyrate	Butyrate concentration (μM)	D00	Treat	10.68
Butyrate	Butyrate concentration (μM)	D00	Treat	18.07
Butyrate	Butyrate concentration (μM)	D00	Treat	8.18
Butyrate	Butyrate concentration (μM)	D00	Treat	7.39
Butyrate	Butyrate concentration (μM)	D05	Control	31.02
Butyrate	Butyrate concentration (μM)	D05	Control	33.86
Butyrate	Butyrate concentration (μM)	D05	Control	24.77
Butyrate	Butyrate concentration (μM)	D05	Control	33.86
Butyrate	Butyrate concentration (μM)	D05	Treat	46.38
Butyrate	Butyrate concentration (μM)	D05	Treat	31.85
Butyrate	Butyrate concentration (μM)	D05	Treat	28.65
Butyrate	Butyrate concentration (μM)	D05	Treat	21.85
Butyrate	Butyrate concentration (μM)	D12	Control	2.73
Butyrate	Butyrate concentration (μM)	D12	Control	4.55
Butyrate	Butyrate concentration (μM)	D12	Control	3.52
Butyrate	Butyrate concentration (μM)	D12	Control	1.93
Butyrate	Butyrate concentration (μM)	D12	Treat	27.17
Butyrate	Butyrate concentration (μM)	D12	Treat	37.65
Butyrate	Butyrate concentration (μM)	D12	Treat	29.93
Butyrate	Butyrate concentration (μM)	D12	Treat	24.60
Butyrate	Butyrate concentration (μM)	D21	Control	4.77
Butyrate	Butyrate concentration (μM)	D21	Control	4.89
Butyrate	Butyrate concentration (μM)	D21	Control	3.86
Butyrate	Butyrate concentration (μM)	D21	Control	4.09
Butyrate	Butyrate concentration (μM)	D21	Treat	34.85
Butyrate	Butyrate concentration (μM)	D21	Treat	23.64
Butyrate	Butyrate concentration (μM)	D21	Treat	23.37
Butyrate	Butyrate concentration (μM)	D21	Treat	41.38
Butyrate	Butyrate concentration (μM)	D30	Control	5.68
Butyrate	Butyrate concentration (μM)	D30	Control	2.27
Butyrate	Butyrate concentration (μM)	D30	Control	2.27
Butyrate	Butyrate concentration (μM)	D30	Control	6.93
Butyrate	Butyrate concentration (μM)	D30	Treat	41.13
Butyrate	Butyrate concentration (μM)	D30	Treat	25.88
Butyrate	Butyrate concentration (μM)	D30	Treat	17.70
Butyrate	Butyrate concentration (μM)	D30	Treat	62.50
Isovalerate	Isovalerate concentration (μM)	D00	Control	2.75
Isovalerate	Isovalerate concentration (μM)	D00	Control	4.61
Isovalerate	Isovalerate concentration (μM)	D00	Control	2.75
Isovalerate	Isovalerate concentration (μM)	D00	Control	2.16
Isovalerate	Isovalerate concentration (μM)	D00	Treat	2.75
Isovalerate	Isovalerate concentration (μM)	D00	Treat	4.61
Isovalerate	Isovalerate concentration (μM)	D00	Treat	2.75
Isovalerate	Isovalerate concentration (μM)	D00	Treat	2.16
Isovalerate	Isovalerate concentration (μM)	D05	Control	5.59
Isovalerate	Isovalerate concentration (μM)	D05	Control	5.78
Isovalerate	Isovalerate concentration (μM)	D05	Control	5.20
Isovalerate	Isovalerate concentration (μM)	D05	Control	6.18
Isovalerate	Isovalerate concentration (μM)	D05	Treat	15.08
Isovalerate	Isovalerate concentration (μM)	D05	Treat	12.29
Isovalerate	Isovalerate concentration (μM)	D05	Treat	10.95
Isovalerate	Isovalerate concentration (μM)	D05	Treat	9.23
Isovalerate	Isovalerate concentration (μM)	D12	Control	0.98
Isovalerate	Isovalerate concentration (μM)	D12	Control	1.18
Isovalerate	Isovalerate concentration (μM)	D12	Control	0.98
Isovalerate	Isovalerate concentration (μM)	D12	Control	0.88
Isovalerate	Isovalerate concentration (μM)	D12	Treat	7.94
Isovalerate	Isovalerate concentration (μM)	D12	Treat	7.75
Isovalerate	Isovalerate concentration (μM)	D12	Treat	10.40
Isovalerate	Isovalerate concentration (μM)	D12	Treat	4.90
Isovalerate	Isovalerate concentration (μM)	D21	Control	1.18
Isovalerate	Isovalerate concentration (μM)	D21	Control	1.37
Isovalerate	Isovalerate concentration (μM)	D21	Control	1.18
Isovalerate	Isovalerate concentration (μM)	D21	Control	1.08
Isovalerate	Isovalerate concentration (μM)	D21	Treat	10.01
Isovalerate	Isovalerate concentration (μM)	D21	Treat	7.48
Isovalerate	Isovalerate concentration (μM)	D21	Treat	5.79
Isovalerate	Isovalerate concentration (μM)	D21	Treat	7.90
Isovalerate	Isovalerate concentration (μM)	D30	Control	2.06
Isovalerate	Isovalerate concentration (μM)	D30	Control	1.67
Isovalerate	Isovalerate concentration (μM)	D30	Control	1.57
Isovalerate	Isovalerate concentration (μM)	D30	Control	2.35
Isovalerate	Isovalerate concentration (μM)	D30	Treat	10.06
Isovalerate	Isovalerate concentration (μM)	D30	Treat	6.71
Isovalerate	Isovalerate concentration (μM)	D30	Treat	6.77
Isovalerate	Isovalerate concentration (μM)	D30	Treat	16.67
Valerate	Valerate concentration (μM)	D00	Control	2.16
Valerate	Valerate concentration (μM)	D00	Control	3.63
Valerate	Valerate concentration (μM)	D00	Control	2.45
Valerate	Valerate concentration (μM)	D00	Control	1.96
Valerate	Valerate concentration (μM)	D00	Treat	2.16
Valerate	Valerate concentration (μM)	D00	Treat	3.63
Valerate	Valerate concentration (μM)	D00	Treat	2.45
Valerate	Valerate concentration (μM)	D00	Treat	1.96
Valerate	Valerate concentration (μM)	D05	Control	3.14
Valerate	Valerate concentration (μM)	D05	Control	3.04
Valerate	Valerate concentration (μM)	D05	Control	2.84
Valerate	Valerate concentration (μM)	D05	Control	3.53
Valerate	Valerate concentration (μM)	D05	Treat	0.02
Valerate	Valerate concentration (μM)	D05	Treat	0.02
Valerate	Valerate concentration (μM)	D05	Treat	0.01
Valerate	Valerate concentration (μM)	D05	Treat	0.00
Valerate	Valerate concentration (μM)	D12	Control	0.88
Valerate	Valerate concentration (μM)	D12	Control	0.98
Valerate	Valerate concentration (μM)	D12	Control	0.78
Valerate	Valerate concentration (μM)	D12	Control	0.88
Valerate	Valerate concentration (μM)	D12	Treat	0.06
Valerate	Valerate concentration (μM)	D12	Treat	0.10
Valerate	Valerate concentration (μM)	D12	Treat	0.10
Valerate	Valerate concentration (μM)	D12	Treat	0.05
Valerate	Valerate concentration (μM)	D21	Control	0.88
Valerate	Valerate concentration (μM)	D21	Control	0.78
Valerate	Valerate concentration (μM)	D21	Control	0.88
Valerate	Valerate concentration (μM)	D21	Control	0.78
Valerate	Valerate concentration (μM)	D21	Treat	0.11
Valerate	Valerate concentration (μM)	D21	Treat	0.07
Valerate	Valerate concentration (μM)	D21	Treat	0.07
Valerate	Valerate concentration (μM)	D21	Treat	0.19
Valerate	Valerate concentration (μM)	D30	Control	1.18
Valerate	Valerate concentration (μM)	D30	Control	1.08
Valerate	Valerate concentration (μM)	D30	Control	0.78
Valerate	Valerate concentration (μM)	D30	Control	1.18
Valerate	Valerate concentration (μM)	D30	Treat	0.14
Valerate	Valerate concentration (μM)	D30	Treat	0.08
Valerate	Valerate concentration (μM)	D30	Treat	0.09
Valerate	Valerate concentration (μM)	D30	Treat	0.24
Caproate	Caproate concentration (μM)	D00	Control	2.07
Caproate	Caproate concentration (μM)	D00	Control	3.28
Caproate	Caproate concentration (μM)	D00	Control	2.33
Caproate	Caproate concentration (μM)	D00	Control	1.98
Caproate	Caproate concentration (μM)	D00	Treat	2.07
Caproate	Caproate concentration (μM)	D00	Treat	3.28
Caproate	Caproate concentration (μM)	D00	Treat	2.33
Caproate	Caproate concentration (μM)	D00	Treat	1.98
Caproate	Caproate concentration (μM)	D05	Control	2.50
Caproate	Caproate concentration (μM)	D05	Control	2.41
Caproate	Caproate concentration (μM)	D05	Control	2.33
Caproate	Caproate concentration (μM)	D05	Control	2.84
Caproate	Caproate concentration (μM)	D05	Treat	0.12
Caproate	Caproate concentration (μM)	D05	Treat	0.12
Caproate	Caproate concentration (μM)	D05	Treat	0.12
Caproate	Caproate concentration (μM)	D05	Treat	0.11
Caproate	Caproate concentration (μM)	D12	Control	0.95
Caproate	Caproate concentration (μM)	D12	Control	1.03
Caproate	Caproate concentration (μM)	D12	Control	0.86
Caproate	Caproate concentration (μM)	D12	Control	0.95
Caproate	Caproate concentration (μM)	D12	Treat	0.11
Caproate	Caproate concentration (μM)	D12	Treat	0.11
Caproate	Caproate concentration (μM)	D12	Treat	0.12
Caproate	Caproate concentration (μM)	D12	Treat	0.11
Caproate	Caproate concentration (μM)	D21	Control	0.95
Caproate	Caproate concentration (μM)	D21	Control	0.86
Caproate	Caproate concentration (μM)	D21	Control	0.95
Caproate	Caproate concentration (μM)	D21	Control	0.86
Caproate	Caproate concentration (μM)	D21	Treat	0.12
Caproate	Caproate concentration (μM)	D21	Treat	0.12
Caproate	Caproate concentration (μM)	D21	Treat	0.11
Caproate	Caproate concentration (μM)	D21	Treat	0.11
Caproate	Caproate concentration (μM)	D30	Control	1.12
Caproate	Caproate concentration (μM)	D30	Control	1.12
Caproate	Caproate concentration (μM)	D30	Control	0.86
Caproate	Caproate concentration (μM)	D30	Control	1.21
Caproate	Caproate concentration (μM)	D30	Treat	0.12
Caproate	Caproate concentration (μM)	D30	Treat	0.11
Caproate	Caproate concentration (μM)	D30	Treat	0.13
Caproate	Caproate concentration (μM)	D30	Treat	0.14
